CreatureName,DamageName
Elder Elemental Phoenix,Fire
Elder Elemental Phoenix,Poison
Elder Elemental Zaratan,Poison
Air Elemental Myrmidon,Poison
Earth Elemental Myrmidon,Poison
Fire Elemental Myrmidon,Fire
Fire Elemental Myrmidon,Poison
Water Elemental Myrmidon,Poison
Air Elemental,Poison
Earth Elemental,Poison
Fire Elemental,Fire
Fire Elemental,Poison
Water Elemental,Poison
Flail Snail,Poison
Flameskull,Cold
Flameskull,Fire
Flameskull,Poison
Galeb Duhr,Poison
Gargoyle,Poison
Giant Four-Armed Gargoyle,Poison
Djinni,Thunder
Marid,Cold
Marid,Lightning
Ghost,Cold
Ghost,Necrotic
Ghost,Poison
Ghast,Poison
Storm Giant,Lightning
Storm Giant,Thunder
Storm Giant Quintessent,Lightning
Storm Giant Quintessent,Thunder
Clay Golem,Poison
Clay Golem,Psychic
Flesh Golem,Poison
Iron Golem,Poison
Iron Golem,Psychic
Guardian Portrait,Poison
Helmed Horror,Force
Helmed Horror,Necrotic
Helmed Horror,Poison
Inevitable Marut,Poison
Invisible Stalker,Poison
Kraken,Bludgeoning
Kraken,Piercing
Kraken,Slashing
Malformed Kraken,Lightning
Lich,Poison
Lich,Bludgeoning
Lich,Piercing
Lich,Slashing
Magmin,Fire
Dust Mephit,Poison
Ice Mephit,Cold
Ice Mephit,Poison
Magma Mephit,Fire
Magma Mephit,Poison
Smoke Mephit,Poison
Steam Mephit,Poison
Illithlich,Poison
Illithlich,Bludgeoning
Illithlich,Piercing
Illithlich,Slashing
Alhoon,Poison
Alhoon,Bludgeoning
Alhoon,Piercing
Alhoon,Slashing
Mummy,Necrotic
Mummy,Poison
Mummy Lord,Necrotic
Mummy Lord,Poison
Mummy Lord,Bludgeoning
Mummy Lord,Piercing
Mummy Lord,Slashing
Naergoth Bladelord,Poison
Nightwalker,Necrotic
Nightwalker,Poison
Ooze Master,Acid
Ooze Master,Cold
Ooze Master,Poison
Black Pudding,Cold
Black Pudding,Lightning
Black Pudding,Slashing
Ochre Jelly,Lightning
Ochre Jelly,Slashing
Phantom Warrior,Cold
Phantom Warrior,Necrotic
Phantom Warrior,Poison
Prince of Apocalypse Imix,Fire
Prince of Apocalypse Imix,Poison
Prince of Apocalypse Ogremoch,Poison
Prince of Apocalypse Olhydra,Acid
Prince of Apocalypse Olhydra,Cold
Prince of Apocalypse Olhydra,Poison
Prince of Apocalypse Yan-C-BIn,Lightning
Prince of Apocalypse Yan-C-BIn,Poison
Prince of Apocalypse Yan-C-BIn,Thunder
Remorhaz,Fire
Young Remorhaz,Fire
Retriever,Poison
Retriever,Bludgeoning
Retriever,Piercing
Retriever,Slashing
Revenant,Poison
Salamander,Fire
Fire Snake,Fire
Frost Salamander,Cold
Scarecrow,Poison
Shadar-Kai Soul Monger,Psychic
Shadow,Necrotic
Shadow,Poison
Shambling Mound,Lightning
Skeleton,Poison
Giant Skeleton,Poison
Minotaur Skeleton,Poison
Warhorse Skeleton,Poison
Skull Lord,Poison
Specter,Necrotic
Specter,Poison
Androsphinx,Bludgeoning
Androsphinx,Piercing
Androsphinx,Slashing
Gynosphinx,Psychic
Star Spawn Larva Mage,Psychic
Star Spawn Mangler,Psychic
Star Spawn Seer,Psychic
Steel Predator,Poison
Steel Predator,Psychic
Steel Predator,Bludgeoning
Steel Predator,Piercing
Steel Predator,Slashing
Stone Cursed,Poison
Stone Juggernaut,Bludgeoning
Stone Juggernaut,Piercing
Stone Juggernaut,Slashing
Strahds Animated Armor,Poison
Sword Wraith Commander,Poison
Sword Wraith Warrior,Poison
Tarrasque,Poison
Tarrasque,Bludgeoning
Tarrasque,Piercing
Tarrasque,Slashing
Tecuziztecatl,Acid
Tiamat,Cold
Tiamat,Fire
Tiamat,Lightning
Tiamat,Bludgeoning
Tiamat,Piercing
Tiamat,Slashing
Tiny Servant,Psychic
Topi,Poison
Spirit Troll,Bludgeoning
Spirit Troll,Piercing
Spirit Troll,Slashing
Vampiric Mist,Poison
Vargouille,Poison
Water Weird,Poison
White Maw,Poison
Wight,Poison
Will-O-Wisp,Poison
Wraith,Necrotic
Wraith,Poison
Yuan-Ti Anathema,Poison
Arcanaloth,Acid
Arcanaloth,Poison
Canoloth,Acid
Canoloth,Poison
Dhergoloth,Acid
Dhergoloth,Poison
Hydroloth,Acid
Hydroloth,Poison
Merrenoloth,Acid
Merrenoloth,Poison
Mezzoloth,Acid
Mezzoloth,Poison
Nycaloth,Acid
Nycaloth,Poison
Oinoloth,Acid
Oinoloth,Poison
Ultroloth,Acid
Ultroloth,Poison
Yagnoloth,Acid
Yagnoloth,Poison
Greater Zombie,Poison
